idd_pol_policy,idd_cus_customer,idd_prd_product,d_cov_start,d_cov_end,amt_written_premium,cov_days_total,cov_days_elapsed,amt_earned_premium
P-2025-002983,100557,3c66679311c1abec9d9192d01ce26f07,2025-05-30,2026-08-11,146.23,439.0,94,31.31
P-2023-000091,100421,19bd7beafce7eb141e672aec8fe7d7c3,2023-02-05,2024-03-29,227.56,419.0,419,227.56
P-2023-000108,100527,7f89c4cd954b7f708ce420be328cebb4,2023-10-16,2024-11-07,81.32,389.0,389,81.32
P-2023-000122,100669,eb1f8989a62d585d97875883da198e51,2023-05-16,2024-04-05,108.44,326.0,326,108.44
P-2023-000125,100666,dcfcf92bb54103cb27c8801b1960989c,2023-11-18,2024-08-29,520.06,286.0,286,520.06
P-2023-000140,100695,a2a38920c9919e09c8703d8892080502,2023-03-13,2023-12-31,12.62,294.0,294,12.62
P-2023-000214,100926,eb1f8989a62d585d97875883da198e51,2023-07-07,2024-04-22,103.51,291.0,291,103.51
P-2023-000240,100574,3c66679311c1abec9d9192d01ce26f07,2023-12-07,2025-03-14,573.13,464.0,464,573.13
P-2023-000286,100086,3c66679311c1abec9d9192d01ce26f07,2023-06-29,2023-11-27,1051.01,152.0,152,1051.01
P-2023-000292,100522,19bd7beafce7eb141e672aec8fe7d7c3,2023-05-31,2024-08-06,244.45,434.0,434,244.45
P-2023-000317,100804,ee203b1703de1595784024279eff985b,2023-10-19,2024-12-15,180.95,424.0,424,180.95
P-2023-000321,100448,dcfcf92bb54103cb27c8801b1960989c,2023-09-27,2024-11-24,279.39,425.0,425,279.39
P-2023-000374,100652,dcfcf92bb54103cb27c8801b1960989c,2023-11-25,2024-07-28,364.97,247.0,247,364.97
P-2023-000467,100551,eb1f8989a62d585d97875883da198e51,2023-12-06,2024-09-19,62.28,289.0,289,62.28
P-2023-000494,100051,3c66679311c1abec9d9192d01ce26f07,2023-11-23,2025-02-04,646.79,440.0,440,646.79
P-2023-000510,100939,ee203b1703de1595784024279eff985b,2023-10-01,2024-04-19,131.95,202.0,202,131.95
P-2023-000575,100104,ee203b1703de1595784024279eff985b,2023-03-31,2023-11-20,157.27,235.0,235,157.27
P-2023-000794,100505,3c66679311c1abec9d9192d01ce26f07,2023-05-04,2024-07-26,205.39,450.0,450,205.39
P-2023-000839,100577,ee203b1703de1595784024279eff985b,2023-11-21,2024-07-15,269.82,238.0,238,269.82
P-2023-000843,100307,ee203b1703de1595784024279eff985b,2023-07-21,2024-06-10,153.75,326.0,326,153.75
P-2023-000915,100803,ee203b1703de1595784024279eff985b,2023-07-18,2024-08-21,193.16,401.0,401,193.16
P-2023-000968,100764,19bd7beafce7eb141e672aec8fe7d7c3,2023-05-23,2024-06-21,225.12,396.0,396,225.12
P-2023-000972,100681,eb1f8989a62d585d97875883da198e51,2023-04-28,2024-04-10,83.22,349.0,349,83.22
P-2023-000979,100815,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-12-06,2024-08-10,652.94,249.0,249,652.94
P-2023-001015,100381,3ef69f90a5178021fa2875bdb7700d8e,2023-01-10,2024-01-11,105.35,367.0,367,105.35
P-2023-001040,100259,a2a38920c9919e09c8703d8892080502,2023-02-19,2024-07-18,56.43,516.0,516,56.43
P-2023-001080,100459,3c66679311c1abec9d9192d01ce26f07,2023-10-21,2024-07-04,381.65,258.0,258,381.65
P-2023-001112,100156,3ef69f90a5178021fa2875bdb7700d8e,2023-05-14,2024-07-10,90.57,424.0,424,90.57
P-2023-001146,100581,3c66679311c1abec9d9192d01ce26f07,2023-06-23,2024-02-27,226.55,250.0,250,226.55
P-2023-001150,100402,a2a38920c9919e09c8703d8892080502,2023-04-13,2024-04-08,56.42,362.0,362,56.42
P-2023-001212,100954,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-04-28,2024-07-27,1128.55,457.0,457,1128.55
P-2023-001250,100854,eb1f8989a62d585d97875883da198e51,2023-07-09,2024-03-19,60.97,255.0,255,60.97
P-2023-001335,100331,3c66679311c1abec9d9192d01ce26f07,2023-10-06,2024-07-28,325.91,297.0,297,325.91
P-2023-001345,100768,19bd7beafce7eb141e672aec8fe7d7c3,2023-07-29,2024-06-26,190.47,334.0,334,190.47
P-2023-001371,100395,dcfcf92bb54103cb27c8801b1960989c,2023-01-29,2024-04-25,599.3,453.0,453,599.3
P-2023-001390,100756,ee203b1703de1595784024279eff985b,2023-02-16,2024-07-06,94.09,507.0,507,94.09
P-2023-001470,100427,ee203b1703de1595784024279eff985b,2023-03-12,2023-10-11,133.05,214.0,214,133.05
P-2023-001609,100713,ee203b1703de1595784024279eff985b,2023-05-22,2023-10-30,220.07,162.0,162,220.07
P-2023-001730,100000,dcfcf92bb54103cb27c8801b1960989c,2023-06-13,2024-04-18,389.84,311.0,311,389.84
P-2023-001780,100678,dcfcf92bb54103cb27c8801b1960989c,2023-09-08,2024-11-26,730.6,446.0,446,730.6
P-2023-001801,100689,eb1f8989a62d585d97875883da198e51,2023-08-16,2024-04-28,51.42,257.0,257,51.42
P-2023-001803,100985,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-06-13,2024-08-07,418.92,422.0,422,418.92
P-2023-001817,100412,19bd7beafce7eb141e672aec8fe7d7c3,2023-05-26,2024-10-10,168.1,504.0,504,168.1
P-2023-001876,100453,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-05-16,2024-03-19,1209.96,309.0,309,1209.96
P-2023-001884,100551,3ef69f90a5178021fa2875bdb7700d8e,2023-09-17,2024-12-16,160.24,457.0,457,160.24
P-2023-001898,100115,eb1f8989a62d585d97875883da198e51,2023-05-10,2024-05-27,30.62,384.0,384,30.62
P-2023-001985,100454,3ef69f90a5178021fa2875bdb7700d8e,2023-05-25,2024-03-15,75.17,296.0,296,75.17
P-2023-001991,100025,3ef69f90a5178021fa2875bdb7700d8e,2023-01-24,2024-03-25,76.96,427.0,427,76.96
P-2023-002025,100443,ee203b1703de1595784024279eff985b,2023-01-16,2024-03-14,219.57,424.0,424,219.57
P-2023-002102,100658,3c66679311c1abec9d9192d01ce26f07,2023-11-29,2025-01-29,388.28,428.0,428,388.28
P-2023-002119,100270,7f89c4cd954b7f708ce420be328cebb4,2023-07-08,2024-07-05,82.76,364.0,364,82.76
P-2023-002122,100259,eb1f8989a62d585d97875883da198e51,2023-12-18,2024-12-16,69.15,365.0,365,69.15
P-2023-002138,100414,dcfcf92bb54103cb27c8801b1960989c,2023-07-22,2024-08-12,516.18,388.0,388,516.18
P-2023-002154,100914,dcfcf92bb54103cb27c8801b1960989c,2023-03-24,2024-01-13,356.46,296.0,296,356.46
P-2023-002168,100380,3ef69f90a5178021fa2875bdb7700d8e,2023-03-12,2024-11-28,120.49,628.0,628,120.49
P-2023-002199,100098,eb1f8989a62d585d97875883da198e51,2023-09-27,2024-10-16,57.53,386.0,386,57.53
P-2023-002230,100340,eb1f8989a62d585d97875883da198e51,2023-06-05,2024-05-18,116.15,349.0,349,116.15
P-2023-002257,100155,dcfcf92bb54103cb27c8801b1960989c,2023-02-07,2023-12-02,398.66,299.0,299,398.66
P-2023-002288,100383,dcfcf92bb54103cb27c8801b1960989c,2023-01-16,2024-01-20,293.74,370.0,370,293.74
P-2023-002395,100748,3c66679311c1abec9d9192d01ce26f07,2023-03-01,2023-10-14,142.67,228.0,228,142.67
P-2023-002402,100958,3c66679311c1abec9d9192d01ce26f07,2023-04-15,2024-05-11,443.97,393.0,393,443.97
P-2023-002429,100380,ee203b1703de1595784024279eff985b,2023-01-22,2024-03-12,271.84,416.0,416,271.84
P-2023-002551,100442,ee203b1703de1595784024279eff985b,2023-02-14,2024-06-27,156.21,500.0,500,156.21
P-2023-002778,100456,dcfcf92bb54103cb27c8801b1960989c,2023-08-06,2024-08-23,386.29,384.0,384,386.29
P-2023-002780,100567,eb1f8989a62d585d97875883da198e51,2023-09-02,2025-01-13,37.68,500.0,500,37.68
P-2023-002788,100581,ee203b1703de1595784024279eff985b,2023-09-03,2024-11-02,86.48,427.0,427,86.48
P-2023-002801,100590,7f89c4cd954b7f708ce420be328cebb4,2023-08-14,2024-08-08,72.04,361.0,361,72.04
P-2023-002821,100122,a2a38920c9919e09c8703d8892080502,2023-06-05,2024-07-05,61.7,397.0,397,61.7
P-2023-002847,100616,19bd7beafce7eb141e672aec8fe7d7c3,2023-06-07,2024-09-12,69.83,464.0,464,69.83
P-2023-002921,100923,ee203b1703de1595784024279eff985b,2023-10-02,2024-10-01,396.72,366.0,366,396.72
P-2023-002936,100554,7f89c4cd954b7f708ce420be328cebb4,2023-05-08,2024-08-28,143.45,479.0,479,143.45
P-2023-002937,100221,3c66679311c1abec9d9192d01ce26f07,2023-06-12,2024-02-10,821.9,244.0,244,821.9
P-2023-002954,100045,eb1f8989a62d585d97875883da198e51,2023-01-16,2024-01-02,78.53,352.0,352,78.53
P-2023-002956,100839,7f89c4cd954b7f708ce420be328cebb4,2023-01-17,2024-03-06,84.35,415.0,415,84.35
P-2023-002965,100076,7f89c4cd954b7f708ce420be328cebb4,2023-06-19,2024-06-16,50.62,364.0,364,50.62
P-2023-002970,100030,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-03-09,2024-02-11,720.04,340.0,340,720.04
P-2024-000005,100368,ee203b1703de1595784024279eff985b,2024-09-08,2025-04-13,191.3,218.0,218,191.3
P-2024-000007,100189,7f89c4cd954b7f708ce420be328cebb4,2024-04-24,2025-07-21,38.57,454.0,454,38.57
P-2024-000012,100812,ee203b1703de1595784024279eff985b,2024-04-03,2025-06-15,177.39,439.0,439,177.39
P-2024-000049,100790,a2a38920c9919e09c8703d8892080502,2024-08-13,2025-11-30,41.66,475.0,384,33.68
P-2024-000076,100891,a2a38920c9919e09c8703d8892080502,2024-10-19,2025-08-28,38.69,314.0,314,38.69
P-2024-000082,100966,19bd7beafce7eb141e672aec8fe7d7c3,2024-02-06,2025-02-06,319.65,367.0,367,319.65
P-2024-000120,100042,3ef69f90a5178021fa2875bdb7700d8e,2024-10-22,2025-10-03,80.53,347.0,314,72.87
P-2024-000225,100889,a2a38920c9919e09c8703d8892080502,2024-02-07,2025-07-19,27.6,529.0,529,27.6
P-2024-000314,100072,eb1f8989a62d585d97875883da198e51,2024-03-11,2024-11-27,75.81,262.0,262,75.81
P-2024-000326,100160,eb1f8989a62d585d97875883da198e51,2024-11-23,2025-12-19,41.43,392.0,282,29.8
P-2024-000393,100999,3c66679311c1abec9d9192d01ce26f07,2024-07-13,2025-09-16,400.36,431.0,415,385.5
P-2024-000466,100479,dcfcf92bb54103cb27c8801b1960989c,2024-05-30,2025-08-09,609.82,437.0,437,609.82
P-2024-000499,100616,ee203b1703de1595784024279eff985b,2024-03-27,2025-01-15,244.96,295.0,295,244.96
P-2024-000509,100330,7f89c4cd954b7f708ce420be328cebb4,2024-04-19,2025-01-09,196.33,266.0,266,196.33
P-2024-000580,100699,3c66679311c1abec9d9192d01ce26f07,2024-09-12,2025-06-15,302.12,277.0,277,302.12
P-2024-000614,100046,ee203b1703de1595784024279eff985b,2024-07-22,2025-04-06,151.59,259.0,259,151.59
P-2024-000635,100652,eb1f8989a62d585d97875883da198e51,2024-02-20,2024-12-20,87.58,305.0,305,87.58
P-2024-000668,100574,dcfcf92bb54103cb27c8801b1960989c,2024-03-14,2025-05-28,985.48,441.0,441,985.48
P-2024-000671,100296,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-10-14,2025-10-13,647.54,365.0,322,571.25
P-2024-000723,100147,ee203b1703de1595784024279eff985b,2024-07-31,2025-08-09,157.04,375.0,375,157.04
P-2024-000726,100073,eb1f8989a62d585d97875883da198e51,2024-12-03,2025-08-18,86.27,259.0,259,86.27
P-2024-000733,100374,eb1f8989a62d585d97875883da198e51,2024-01-24,2025-02-26,85.03,400.0,400,85.03
P-2024-000801,100488,3ef69f90a5178021fa2875bdb7700d8e,2024-10-26,2025-08-03,90.94,282.0,282,90.94
P-2024-000802,100172,3c66679311c1abec9d9192d01ce26f07,2024-05-01,2024-12-04,614.28,218.0,218,614.28
P-2024-000958,100935,3ef69f90a5178021fa2875bdb7700d8e,2024-03-24,2025-02-17,71.76,331.0,331,71.76
P-2024-001037,100667,dcfcf92bb54103cb27c8801b1960989c,2024-12-07,2026-02-25,279.22,446.0,268,167.78
P-2024-001070,100612,eb1f8989a62d585d97875883da198e51,2024-12-03,2025-10-08,94.12,310.0,272,82.58
P-2024-001103,100102,dcfcf92bb54103cb27c8801b1960989c,2024-03-07,2024-11-26,248.56,265.0,265,248.56
P-2024-001131,100524,3c66679311c1abec9d9192d01ce26f07,2024-03-29,2025-05-09,176.85,407.0,407,176.85
P-2024-001352,100578,3ef69f90a5178021fa2875bdb7700d8e,2024-11-29,2025-06-21,100.03,205.0,205,100.03
P-2024-001644,100052,dcfcf92bb54103cb27c8801b1960989c,2024-03-08,2024-11-25,434.5,263.0,263,434.5
P-2024-001667,100427,3c66679311c1abec9d9192d01ce26f07,2024-12-26,2026-02-23,351.88,425.0,249,206.16
P-2024-001668,100887,dcfcf92bb54103cb27c8801b1960989c,2024-01-16,2024-11-05,529.78,295.0,295,529.78
P-2024-001682,100414,7f89c4cd954b7f708ce420be328cebb4,2024-08-19,2026-01-24,126.45,524.0,378,91.22
P-2024-001723,100704,3c66679311c1abec9d9192d01ce26f07,2024-10-26,2026-03-28,222.03,519.0,310,132.62
P-2024-001764,100030,ee203b1703de1595784024279eff985b,2024-11-04,2025-11-14,130.57,376.0,301,104.53
P-2024-001829,100656,dcfcf92bb54103cb27c8801b1960989c,2024-03-26,2025-07-11,584.62,473.0,473,584.62
P-2024-001874,100456,19bd7beafce7eb141e672aec8fe7d7c3,2024-05-29,2025-03-06,235.18,282.0,282,235.18
P-2024-001937,100824,a2a38920c9919e09c8703d8892080502,2024-08-29,2025-05-16,44.45,261.0,261,44.45
P-2024-002051,100491,ee203b1703de1595784024279eff985b,2024-02-20,2025-03-15,233.87,390.0,390,233.87
P-2024-002123,100719,19bd7beafce7eb141e672aec8fe7d7c3,2024-07-27,2025-08-19,99.62,389.0,389,99.62
P-2024-002156,100815,ee203b1703de1595784024279eff985b,2024-03-03,2024-12-21,268.55,294.0,294,268.55
P-2024-002173,100897,7f89c4cd954b7f708ce420be328cebb4,2024-07-19,2025-09-27,135.86,436.0,409,127.45
P-2024-002177,100169,dcfcf92bb54103cb27c8801b1960989c,2024-07-08,2025-12-29,264.77,540.0,420,205.93
P-2024-002394,100494,eb1f8989a62d585d97875883da198e51,2024-12-05,2025-11-09,26.16,340.0,270,20.77
P-2024-002407,100262,7f89c4cd954b7f708ce420be328cebb4,2024-09-01,2025-07-26,81.23,329.0,329,81.23
P-2024-002410,100560,7f89c4cd954b7f708ce420be328cebb4,2024-01-20,2024-04-08,78.86,80.0,80,78.86
P-2024-002444,100517,ee203b1703de1595784024279eff985b,2024-08-17,2025-07-28,350.89,346.0,346,350.89
P-2024-002474,100596,3c66679311c1abec9d9192d01ce26f07,2024-05-29,2025-10-30,178.58,520.0,460,157.97
P-2024-002526,100171,3c66679311c1abec9d9192d01ce26f07,2024-03-21,2025-04-28,488.21,404.0,404,488.21
P-2024-002589,100000,7f89c4cd954b7f708ce420be328cebb4,2024-07-24,2025-09-21,62.34,425.0,404,59.26
P-2024-002669,100466,ee203b1703de1595784024279eff985b,2024-08-19,2025-11-02,57.13,441.0,378,48.97
P-2024-002726,100066,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-08-05,2025-02-07,399.46,187.0,187,399.46
P-2024-002774,100507,3c66679311c1abec9d9192d01ce26f07,2024-04-12,2025-01-22,406.67,286.0,286,406.67
P-2024-002784,100903,7f89c4cd954b7f708ce420be328cebb4,2024-02-16,2025-04-27,95.7,437.0,437,95.7
P-2024-002799,100733,a2a38920c9919e09c8703d8892080502,2024-04-12,2025-05-03,44.3,387.0,387,44.3
P-2024-002846,100857,eb1f8989a62d585d97875883da198e51,2024-01-26,2025-01-18,50.22,359.0,359,50.22
P-2024-002884,100564,ee203b1703de1595784024279eff985b,2024-08-24,2025-10-10,192.23,413.0,373,173.61
P-2024-002922,100508,dcfcf92bb54103cb27c8801b1960989c,2024-11-22,2026-03-02,527.59,466.0,283,320.4
P-2024-002927,100546,ee203b1703de1595784024279eff985b,2024-11-26,2025-12-04,231.92,374.0,279,173.01
P-2025-000015,100427,eb1f8989a62d585d97875883da198e51,2025-01-29,2026-08-24,54.92,573.0,215,20.61
P-2025-000072,100928,ee203b1703de1595784024279eff985b,2025-04-27,2026-06-20,123.63,420.0,127,37.38
P-2025-000331,100533,eb1f8989a62d585d97875883da198e51,2025-03-08,2026-08-06,50.58,517.0,177,17.32
P-2025-000410,100400,ee203b1703de1595784024279eff985b,2025-02-09,2025-07-24,150.94,166.0,166,150.94
P-2025-000529,100961,3ef69f90a5178021fa2875bdb7700d8e,2025-03-13,2026-02-03,88.51,328.0,172,46.41
P-2025-000655,100621,3ef69f90a5178021fa2875bdb7700d8e,2025-02-03,2026-04-12,58.21,434.0,210,28.17
P-2025-000708,100910,ee203b1703de1595784024279eff985b,2025-01-31,2026-02-05,157.91,371.0,213,90.66
P-2025-000746,100182,a2a38920c9919e09c8703d8892080502,2025-01-09,2025-07-17,20.95,190.0,190,20.95
P-2025-000920,100397,7f89c4cd954b7f708ce420be328cebb4,2025-04-26,2026-06-09,85.2,410.0,128,26.6
P-2025-001002,100010,19bd7beafce7eb141e672aec8fe7d7c3,2025-01-29,2025-05-30,180.56,122.0,122,180.56
P-2025-001113,100686,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-01-07,2025-09-23,647.99,260.0,237,590.67
P-2025-001348,100221,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-04-16,2026-04-12,731.52,362.0,138,278.87
P-2025-001437,100456,7f89c4cd954b7f708ce420be328cebb4,2025-04-20,2025-08-30,64.18,133.0,133,64.18
P-2025-001530,100384,a2a38920c9919e09c8703d8892080502,2025-01-09,2026-04-21,17.23,468.0,235,8.65
P-2025-001646,100722,7f89c4cd954b7f708ce420be328cebb4,2025-02-15,2026-07-08,70.78,509.0,198,27.53
P-2025-001914,100300,3ef69f90a5178021fa2875bdb7700d8e,2025-03-29,2026-05-10,103.68,408.0,156,39.64
P-2025-002040,100582,a2a38920c9919e09c8703d8892080502,2025-05-08,2026-04-10,41.78,338.0,116,14.34
P-2025-002130,100354,ee203b1703de1595784024279eff985b,2025-01-12,2025-06-13,368.18,153.0,153,368.18
P-2025-002271,100267,19bd7beafce7eb141e672aec8fe7d7c3,2025-01-01,2026-06-01,182.52,517.0,243,85.79
P-2025-002533,100405,3ef69f90a5178021fa2875bdb7700d8e,2025-04-15,2026-07-22,83.83,464.0,139,25.11
P-2025-002548,100873,ee203b1703de1595784024279eff985b,2025-01-19,2026-03-14,149.4,420.0,225,80.04
P-2025-002724,100250,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-01-15,2026-01-19,340.21,370.0,229,210.56
P-2025-002754,100796,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-04-06,2025-11-21,631.51,230.0,148,406.36
P-2025-002892,100699,ee203b1703de1595784024279eff985b,2025-02-11,2026-01-27,202.06,351.0,202,116.29
P-2023-000011,100147,dcfcf92bb54103cb27c8801b1960989c,2023-01-26,2024-03-10,309.81,410.0,410,309.81
P-2023-000123,100073,19bd7beafce7eb141e672aec8fe7d7c3,2023-11-23,2024-11-28,210.74,372.0,372,210.74
P-2023-000141,100354,3ef69f90a5178021fa2875bdb7700d8e,2023-07-12,2024-02-12,151.36,216.0,216,151.36
P-2023-000168,100111,19bd7beafce7eb141e672aec8fe7d7c3,2023-01-22,2024-07-13,128.51,539.0,539,128.51
P-2023-000183,100524,3c66679311c1abec9d9192d01ce26f07,2023-04-30,2024-01-24,622.71,270.0,270,622.71
P-2023-000226,100690,19bd7beafce7eb141e672aec8fe7d7c3,2023-11-04,2024-07-30,195.18,270.0,270,195.18
P-2023-000253,100166,a2a38920c9919e09c8703d8892080502,2023-02-04,2024-01-29,41.93,360.0,360,41.93
P-2023-000277,100586,ee203b1703de1595784024279eff985b,2023-02-18,2023-09-08,147.99,203.0,203,147.99
P-2023-000311,100601,ee203b1703de1595784024279eff985b,2023-03-02,2023-10-06,151.17,219.0,219,151.17
P-2023-000358,100697,ee203b1703de1595784024279eff985b,2023-08-11,2024-05-14,264.1,278.0,278,264.1
P-2023-000447,100115,eb1f8989a62d585d97875883da198e51,2023-08-16,2024-05-15,25.84,274.0,274,25.84
P-2023-000547,100400,ee203b1703de1595784024279eff985b,2023-12-24,2025-06-11,73.35,536.0,536,73.35
P-2023-000578,100486,ee203b1703de1595784024279eff985b,2023-09-21,2024-08-26,315.82,341.0,341,315.82
P-2023-000678,100331,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-05-26,2024-07-23,1309.31,425.0,425,1309.31
P-2023-000727,100414,3ef69f90a5178021fa2875bdb7700d8e,2023-02-23,2024-04-03,86.28,406.0,406,86.28
P-2023-000734,100867,eb1f8989a62d585d97875883da198e51,2023-05-23,2024-01-31,48.08,254.0,254,48.08
P-2023-000758,100540,dcfcf92bb54103cb27c8801b1960989c,2023-06-24,2024-02-18,317.29,240.0,240,317.29
P-2023-000815,100860,a2a38920c9919e09c8703d8892080502,2023-07-11,2024-02-01,32.66,206.0,206,32.66
P-2023-000827,100775,3ef69f90a5178021fa2875bdb7700d8e,2023-01-11,2023-08-22,63.13,224.0,224,63.13
P-2023-000884,100642,19bd7beafce7eb141e672aec8fe7d7c3,2023-02-15,2024-04-26,128.52,437.0,437,128.52
P-2023-000943,100837,3c66679311c1abec9d9192d01ce26f07,2023-02-12,2023-09-17,225.04,218.0,218,225.04
P-2023-001038,100255,7f89c4cd954b7f708ce420be328cebb4,2023-07-31,2024-09-01,73.69,399.0,399,73.69
P-2023-001088,100005,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-10-11,2024-12-15,426.9,432.0,432,426.9
P-2023-001096,100013,a2a38920c9919e09c8703d8892080502,2023-01-07,2023-12-15,27.95,343.0,343,27.95
P-2023-001151,100041,19bd7beafce7eb141e672aec8fe7d7c3,2023-07-12,2024-07-12,325.51,367.0,367,325.51
P-2023-001175,100320,ee203b1703de1595784024279eff985b,2023-07-10,2024-10-08,450.21,457.0,457,450.21
P-2023-001191,100729,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-09-12,2024-11-10,629.84,426.0,426,629.84
P-2023-001204,100408,a2a38920c9919e09c8703d8892080502,2023-01-31,2023-10-28,31.67,271.0,271,31.67
P-2023-001227,100833,eb1f8989a62d585d97875883da198e51,2023-09-07,2024-09-04,68.88,364.0,364,68.88
P-2023-001299,100044,7f89c4cd954b7f708ce420be328cebb4,2023-06-30,2024-08-01,81.56,399.0,399,81.56
P-2023-001444,100562,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-05-12,2024-02-19,477.18,284.0,284,477.18
P-2023-001450,100832,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-08-12,2024-08-19,272.94,374.0,374,272.94
P-2023-001473,100844,eb1f8989a62d585d97875883da198e51,2023-11-24,2024-06-30,71.41,220.0,220,71.41
P-2023-001600,100514,7f89c4cd954b7f708ce420be328cebb4,2023-09-01,2024-09-05,111.2,371.0,371,111.2
P-2023-001605,100286,7f89c4cd954b7f708ce420be328cebb4,2023-11-10,2024-04-11,90.19,154.0,154,90.19
P-2023-001636,100626,dcfcf92bb54103cb27c8801b1960989c,2023-12-09,2025-03-12,460.62,460.0,460,460.62
P-2023-001650,100885,3c66679311c1abec9d9192d01ce26f07,2023-01-28,2023-10-14,321.27,260.0,260,321.27
P-2023-001663,100701,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-01-10,2024-02-01,571.19,388.0,388,571.19
P-2023-001710,100884,19bd7beafce7eb141e672aec8fe7d7c3,2023-05-31,2024-05-27,165.02,363.0,363,165.02
P-2023-001752,100115,a2a38920c9919e09c8703d8892080502,2023-02-03,2024-07-09,24.55,523.0,523,24.55
P-2023-001887,100253,3ef69f90a5178021fa2875bdb7700d8e,2023-09-15,2024-12-08,75.46,451.0,451,75.46
P-2023-001890,100770,19bd7beafce7eb141e672aec8fe7d7c3,2023-12-05,2024-10-26,230.34,327.0,327,230.34
P-2023-001912,100021,ee203b1703de1595784024279eff985b,2023-04-18,2024-01-23,118.41,281.0,281,118.41
P-2023-001925,100048,3ef69f90a5178021fa2875bdb7700d8e,2023-01-02,2024-04-09,120.35,464.0,464,120.35
P-2023-002010,100819,7f89c4cd954b7f708ce420be328cebb4,2023-04-11,2024-03-14,111.46,339.0,339,111.46
P-2023-002070,100452,19bd7beafce7eb141e672aec8fe7d7c3,2023-06-22,2024-02-15,185.53,239.0,239,185.53
P-2023-002142,100333,a2a38920c9919e09c8703d8892080502,2023-08-17,2024-09-03,31.68,384.0,384,31.68
P-2023-002148,100137,7f89c4cd954b7f708ce420be328cebb4,2023-03-24,2023-09-19,99.68,180.0,180,99.68
P-2023-002149,100679,eb1f8989a62d585d97875883da198e51,2023-06-01,2024-07-10,66.2,406.0,406,66.2
P-2023-002196,100246,3c66679311c1abec9d9192d01ce26f07,2023-12-06,2025-05-02,302.86,514.0,514,302.86
P-2023-002217,100959,ee203b1703de1595784024279eff985b,2023-11-15,2024-12-01,101.51,383.0,383,101.51
P-2023-002225,100813,7f89c4cd954b7f708ce420be328cebb4,2023-10-13,2024-08-07,78.9,300.0,300,78.9
P-2023-002278,100668,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-03-06,2024-02-24,386.0,356.0,356,386.0
P-2023-002281,100559,dcfcf92bb54103cb27c8801b1960989c,2023-03-27,2024-09-27,727.94,551.0,551,727.94
P-2023-002305,100229,7f89c4cd954b7f708ce420be328cebb4,2023-05-12,2024-03-09,70.52,303.0,303,70.52
P-2023-002363,100561,19bd7beafce7eb141e672aec8fe7d7c3,2023-02-22,2024-07-03,183.14,498.0,498,183.14
P-2023-002385,100900,dcfcf92bb54103cb27c8801b1960989c,2023-03-03,2024-02-20,491.27,355.0,355,491.27
P-2023-002426,100408,a2a38920c9919e09c8703d8892080502,2023-09-01,2024-12-20,28.8,477.0,477,28.8
P-2023-002446,100303,3c66679311c1abec9d9192d01ce26f07,2023-12-15,2025-02-07,592.8,421.0,421,592.8
P-2023-002462,100633,3ef69f90a5178021fa2875bdb7700d8e,2023-03-02,2024-01-19,52.15,324.0,324,52.15
P-2023-002486,100655,19bd7beafce7eb141e672aec8fe7d7c3,2023-08-11,2024-05-30,340.37,294.0,294,340.37
P-2023-002525,100271,a2a38920c9919e09c8703d8892080502,2023-07-26,2024-07-26,26.39,367.0,367,26.39
P-2023-002584,100392,a2a38920c9919e09c8703d8892080502,2023-10-05,2024-10-03,46.62,365.0,365,46.62
P-2023-002588,100357,7f89c4cd954b7f708ce420be328cebb4,2023-03-03,2024-01-01,83.84,305.0,305,83.84
P-2023-002591,100365,eb1f8989a62d585d97875883da198e51,2023-02-06,2024-03-03,26.25,392.0,392,26.25
P-2023-002596,100213,19bd7beafce7eb141e672aec8fe7d7c3,2023-07-15,2024-05-07,126.2,298.0,298,126.2
P-2023-002609,100795,ee203b1703de1595784024279eff985b,2023-10-09,2025-03-07,488.91,516.0,516,488.91
P-2023-002613,100642,dcfcf92bb54103cb27c8801b1960989c,2023-01-29,2023-09-17,482.99,232.0,232,482.99
P-2023-002708,100232,eb1f8989a62d585d97875883da198e51,2023-06-09,2024-07-17,66.95,405.0,405,66.95
P-2023-002723,100904,a2a38920c9919e09c8703d8892080502,2023-04-26,2024-03-29,53.74,339.0,339,53.74
P-2023-002751,100767,ee203b1703de1595784024279eff985b,2023-01-10,2023-10-29,259.68,293.0,293,259.68
P-2023-002761,100724,7f89c4cd954b7f708ce420be328cebb4,2023-12-28,2024-10-16,86.62,294.0,294,86.62
